name,education,quote
Antoni Gaudí,https://imgix.ranker.com/node_img/24/476345/original/antoni-gaud-writers-photo-1?auto=format&q=60&fit=crop&fm=pjpg&dpr=2&w=375,"Antoni Gaudí i Cornet was a Spanish Catalan architect from Reus and the best known practitioner of Catalan Modernism. Gaudí's works reflect an individualized and distinctive style. Most are located in Barcelona, including his magnum opus, the Sagrada Família. Gaudí's work was influenced by his passions in life: architecture, nature, and religion. Gaudí considered every detail of his creations and integrated into his architecture such crafts as ceramics, stained glass, wrought ironwork forging and carpentry. He also introduced new techniques in the treatment of materials, such as trencadís which used waste ceramic pieces. Under the influence of neo-Gothic art and Oriental techniques, Gaudí became part of the Modernista movement which was reaching its peak in the late 19th and early 20th centuries. His work transcended mainstream Modernisme, culminating in an organic style inspired by natural forms. Gaudí rarely drew detailed plans of his works, instead preferring to create them as three-dimensional scale models and molding the details as he conceived them. Gaudí's work enjoys global popularity and continuing admiration and study by architects.",Age: Dec. at 73 (1852-1926),"Place of Birth: Tarragona, Reus, Spain","Structures: Sagrada Família, Church of Colònia Güell, Episcopal Palace, Astorga, Palau Güell"
Frank Gehry,https://imgix.ranker.com/node_img/51/1018960/original/frank-gehry-architects-photo-1?auto=format&q=60&fit=crop&fm=pjpg&dpr=2&w=375,"Frank Owen Gehry, CC is a Canadian architect born in Canada, currently a United States resident based in Los Angeles. A number of his buildings, including his private residence, have become world-renowned tourist attractions. His works are cited as being among the most important works of contemporary architecture in the 2010 World Architecture Survey, which led Vanity Fair to label him as ""the most important architect of our age"". Gehry's best-known works include the titanium-clad Guggenheim Museum in Bilbao, Spain; Walt Disney Concert Hall in downtown Los Angeles; Louis Vuitton Foundation in Paris, France; MIT Ray and Maria Stata Center in Cambridge, Massachusetts; The Vontz Center for Molecular Studies on the University of Cincinnati campus; Experience Music Project in Seattle; New World Center in Miami Beach; Weisman Art Museum in Minneapolis; Dancing House in Prague; the Vitra Design Museum and the museum MARTa Herford in Germany; the Art Gallery of Ontario in Toronto; the Cinémathèque française in Paris; and 8 Spruce Street in New York City.",Age: 94,"Place of Birth: Toronto, Canada","Structures: Dwight D. Eisenhower Memorial, Frank Gehry Residence, Peter B. Lewis Building, Santa Monica Place, BP Pedestrian Bridge"
Frank Lloyd Wright,https://imgix.ranker.com/node_img/51/1019457/original/frank-lloyd-wright-writers-photo-1?auto=format&q=60&fit=crop&fm=pjpg&dpr=2&w=375,"Frank Lloyd Wright was an American architect, interior designer, writer, and educator, who designed more than 1,000 structures, 532 of which were completed. Wright believed in designing structures that were in harmony with humanity and its environment, a philosophy he called organic architecture. This philosophy was best exemplified by Fallingwater, which has been called ""the best all-time work of American architecture"". Wright was a leader of the Prairie School movement of architecture and developed the concept of the Usonian home, his unique vision for urban planning in the United States.",Age: Dec. at 91 (1867-1959),"Place of Birth: Richland Center, Wisconsin","Structures: Beth Sholom Congregation, Coonley House, The Last Wright: Frank Lloyd Wright and the Park Inn Hotel, John D. Haynes House, D. D. Martin House Complex"
Richard Neutra,https://imgix.ranker.com/node_img/96/1905780/original/richard-neutra-writers-photo-1?auto=format&q=60&fit=crop&fm=pjpg&dpr=2&w=375,"Richard Joseph Neutra was an American architect. Living and building for the majority of his career in Southern California, he came to be considered among the most important modernist architects.",Age: Dec. at 78 (1892-1970),"Place of Birth: Vienna, Austria","Structures: Congregational Church in Hacienda Heights, Rajagopal Addition, Kronish House, Baldwin House by Neutra, Nuffer Cabin"
Santiago Calatrava,https://imgix.ranker.com/node_img/99/1974654/original/santiago-calatrava-writers-photo-1?auto=format&q=60&fit=crop&fm=pjpg&dpr=2&w=375,"Santiago Calatrava Valls is a Spanish neofuturistic architect, structural engineer, sculptor and painter. He has offices in New York City, Doha, and Zürich, where he now resides.",Age: 72,"Place of Birth: Benimàmet, Valencia","Structures: Centro Internacional de Ferias y Congresos de Tenerife, Museu de les Ciències Príncipe Felipe, Zurich Stadelhofen railway station, James Joyce Bridge, Gare do Oriente"
Louis Kahn,https://imgix.ranker.com/node_img/74/1477192/original/louis-kahn-writers-photo-1?auto=format&q=60&fit=crop&fm=pjpg&dpr=2&w=375,"Louis Isadore Kahn was an American architect, based in Philadelphia. After working in various capacities for several firms in Philadelphia, he founded his own atelier in 1935. While continuing his private practice, he served as a design critic and professor of architecture at Yale School of Architecture from 1947 to 1957. From 1957 until his death, he was a professor of architecture at the School of Design at the University of Pennsylvania. Kahn created a style that was monumental and monolithic; his heavy buildings do not hide their weight, their materials, or the way they are assembled. Louis Kahn's works are considered as monumental beyond modernism. Famous for his meticulously built works, his provocative proposals that remained unbuilt, and his teaching, Kahn was one of the most influential architects of the twentieth century. He was awarded the AIA Gold Medal and the RIBA Gold Medal. At the time of his death he was considered by some as ""America's foremost living architect.""",Age: Dec. at 73 (1901-1974),"Place of Birth: Estonia, Kuressaare","Structures: Kimbell Art Museum, Yale Center for British Art, Yale University Art Gallery, Phillips Exeter Academy Library, Trenton Jewish Community Center Bath House and Day Camp"
Oscar Niemeyer,https://imgix.ranker.com/node_img/87/1734198/original/oscar-niemeyer-writers-photo-1?auto=format&q=60&fit=crop&fm=pjpg&dpr=2&w=375,"Oscar Ribeiro de Almeida Niemeyer Soares Filho, known as Oscar Niemeyer, was a Brazilian architect who is considered to be one of the key figures in the development of modern architecture. Niemeyer was best known for his design of civic buildings for Brasília, a planned city that became Brazil's capital in 1960, as well as his collaboration with other architects on the United Nations Headquarters in New York City. His exploration of the aesthetic possibilities of reinforced concrete was highly influential in the late 20th and early 21st centuries. Both lauded and criticized for being a ""sculptor of monuments"", Niemeyer was hailed as a great artist and one of the greatest architects of his generation by his supporters. He said his architecture was strongly influenced by Le Corbusier, but in an interview, assured that this ""didn't prevent [his] architecture from going in a different direction"". Niemeyer was most famous for his use of abstract forms and curves and wrote in his memoirs:",Age: Dec. at 104 (1907-2012),"Place of Birth: Rio de Janeiro, Brazil","Structures: Latin America Memorial, Palácio do Jaburu, Penang State Mosque, National Congress building, Anhembi Sambadrome"
Daniel Libeskind,https://imgix.ranker.com/node_img/41/810380/original/daniel-libeskind-visual-artists-photo-1?auto=format&q=60&fit=crop&fm=pjpg&dpr=2&w=375,"Daniel Libeskind is a Polish-American architect, artist, professor and set designer of Polish Jewish descent. Libeskind founded Studio Daniel Libeskind in 1989 with his wife, Nina, and is its principal design architect. His buildings include the Jewish Museum in Berlin, Germany, the extension to the Denver Art Museum in the United States, the Grand Canal Theatre in Dublin, the Imperial War Museum North in Greater Manchester, England, the Michael Lee-Chin Crystal at the Royal Ontario Museum in Toronto, Canada, the Felix Nussbaum Haus in Osnabrück, Germany, the Danish Jewish Museum in Copenhagen, Denmark, and the Wohl Centre at the Bar-Ilan University in Ramat-Gan, Israel. His portfolio also includes several residential projects. Libeskind's work has been exhibited in major museums and galleries around the world, including the Museum of Modern Art, the Bauhaus Archives, the Art Institute of Chicago, and the Centre Pompidou. On February 27, 2003, Libeskind won the competition to be the master plan architect for the reconstruction of the World Trade Center site in Lower Manhattan.",Age: 77,"Place of Birth: Łódź, Poland","Structures: Bord Gáis Energy Theatre, Imperial War Museum North, The Crystals, One World Trade Center, L Tower"
Le Corbusier,https://imgix.ranker.com/node_img/73/1442121/original/le-corbusier-writers-photo-1?auto=format&q=60&fit=crop&fm=pjpg&dpr=2&w=375,"Charles-Édouard Jeanneret-Gris, who was better known as Le Corbusier, was a Swiss-French architect, designer, painter, urban planner, writer, and one of the pioneers of what is now called modern architecture. He was born in Switzerland and became a French citizen in 1930. His career spanned five decades, with his buildings constructed throughout Europe, India, and America. Dedicated to providing better living conditions for the residents of crowded cities, Le Corbusier was influential in urban planning, and was a founding member of the Congrès international d'architecture moderne. Corbusier prepared the master plan for the planned city of Chandigarh in India, and contributed specific designs for several buildings there.",Age: Dec. at 77 (1887-1965),"Place of Birth: La Chaux-de-Fonds, Switzerland","Structures: National Museum of Western Art, Tsentrosoyuz building, Palace of Justice, Chandigarth, India"
,,,,,
